show,season,episode,characters_lines,characters_words
The Office,2,17,"{'Michael': 75, 'Dwight': 64, 'Jim': 36, 'Creed': 4, 'Ryan': 14, 'Pam': 24, 'Phyllis': 8, 'Oscar': 3, 'Stanley': 6, 'Kelly': 5, 'Angela': 4, 'Kevin': 4, 'Toby': 4, 'Overhead': 1, 'Speaker': 2, 'Crowd': 8, 'Meredith': 1}","{'Michael': 1526, 'Dwight': 749, 'Jim': 442, 'Creed': 30, 'Ryan': 130, 'Pam': 253, 'Phyllis': 83, 'Oscar': 58, 'Stanley': 36, 'Kelly': 53, 'Angela': 41, 'Kevin': 28, 'Toby': 22, 'Overhead': 5, 'Speaker': 18, 'Crowd': 4, 'Meredith': 6}"
The Office,2,18,"{'Pam': 26, 'Jim': 24, 'Michael': 81, 'Dwight': 27, 'Toby': 13, 'Kevin': 7, 'Stanley': 9, 'Melissa': 17, 'Meredith': 2, 'Angela': 10, 'Kelly': 8, 'Sasha': 8, 'Ryan': 12, 'Abby': 19, 'Jake': 27, 'Creed': 5, 'Kids': 2, 'Chet': 2, 'Oscar': 4, 'Darryl': 5, 'Roy': 3, 'Phyllis': 1}","{'Pam': 225, 'Jim': 223, 'Michael': 1204, 'Dwight': 338, 'Toby': 76, 'Kevin': 73, 'Stanley': 133, 'Melissa': 130, 'Meredith': 39, 'Angela': 107, 'Kelly': 72, 'Sasha': 32, 'Ryan': 70, 'Abby': 89, 'Jake': 129, 'Creed': 24, 'Kids': 3, 'Chet': 9, 'Oscar': 24, 'Darryl': 39, 'Roy': 22, 'Phyllis': 3}"
The Office,2,19,"{'Michael': 99, 'Oscar': 7, 'Ryan': 10, 'Toby': 8, 'Jim': 23, 'Pam': 26, 'Meredith': 1, 'Kevin': 15, 'Dwight': 46, 'Phyllis': 2, 'Angela': 13, 'Jan': 5, 'Stanley': 3, 'Kelly': 4, 'Carol': 4}","{'Michael': 1366, 'Oscar': 31, 'Ryan': 73, 'Toby': 62, 'Jim': 201, 'Pam': 179, 'Meredith': 5, 'Kevin': 93, 'Dwight': 472, 'Phyllis': 16, 'Angela': 93, 'Jan': 24, 'Stanley': 18, 'Kelly': 51, 'Carol': 22}"
The Office,2,20,"{'Dwight': 92, 'Jim': 26, 'Kevin': 7, 'Pam': 25, 'Kelly': 9, 'Ryan': 7, 'Michael': 62, 'Oscar': 8, 'Phyllis': 7, 'Creed': 2, 'Stanley': 9, 'Pam/Jim': 1, 'Angela': 8, 'Toby': 9, 'Linda': 5, 'Hank': 5, 'Meredith': 2, 'Jan': 1, 'Man': 1, 'Sheriff': 8}","{'Dwight': 1052, 'Jim': 221, 'Kevin': 19, 'Pam': 348, 'Kelly': 184, 'Ryan': 49, 'Michael': 1177, 'Oscar': 60, 'Phyllis': 27, 'Creed': 17, 'Stanley': 50, 'Pam/Jim': 7, 'Angela': 48, 'Toby': 96, 'Linda': 32, 'Hank': 32, 'Meredith': 74, 'Jan': 16, 'Man': 5, 'Sheriff': 74}"
The Office,2,21,"{'Kevin': 5, 'Pam': 26, 'Jim': 37, 'Phyllis': 15, 'Angela': 12, 'Michael': 95, 'Dwight': 50, 'Ryan': 5, 'Oscar': 9, 'Toby': 22, 'Photographer': 14, 'Creed': 3, 'Kelly': 2, 'Anglea': 1, 'Stanley': 4, 'Meredith': 1}","{'Kevin': 26, 'Pam': 230, 'Jim': 397, 'Phyllis': 106, 'Angela': 102, 'Michael': 1583, 'Dwight': 510, 'Ryan': 19, 'Oscar': 109, 'Toby': 232, 'Photographer': 75, 'Creed': 41, 'Kelly': 18, 'Anglea': 4, 'Stanley': 15, 'Meredith': 1}"
The Office,2,22,"{'Michael': 112, 'Jim': 53, 'Dwight': 40, 'Pam': 46, 'Roy': 11, 'Jan': 40, 'Oscar': 5, 'Angela': 5, 'Creed': 4, 'Kevin': 16, 'Kelly': 1, 'Toby': 5, 'Phyllis': 8, 'Darryl': 11, 'Carol': 30, 'Billy': 4, 'Stanley': 3, 'Dealer': 5, 'Meredith': 3, 'Ryan': 1, 'Bob': 2}","{'Michael': 1347, 'Jim': 436, 'Dwight': 380, 'Pam': 398, 'Roy': 83, 'Jan': 269, 'Oscar': 33, 'Angela': 44, 'Creed': 64, 'Kevin': 120, 'Kelly': 29, 'Toby': 76, 'Phyllis': 42, 'Darryl': 91, 'Carol': 138, 'Billy': 29, 'Stanley': 15, 'Dealer': 39, 'Meredith': 22, 'Ryan': 19, 'Bob': 23}"
The Office,3,01,"{'Ryan': 1, 'Jim': 13, 'Pam': 12, 'Dwight': 18, 'Michael': 62, 'Toby': 10, 'Oscar': 17, 'Angela': 4, 'Andy': 8, 'Josh': 1, 'Karen': 1, 'Roy': 4, 'Stanley': 1, 'Kelly': 1, 'Jan': 12, 'Phyllis': 3, 'Meredith': 2}","{'Ryan': 49, 'Jim': 152, 'Pam': 112, 'Dwight': 154, 'Michael': 1149, 'Toby': 108, 'Oscar': 226, 'Angela': 42, 'Andy': 156, 'Josh': 47, 'Karen': 25, 'Roy': 56, 'Stanley': 45, 'Kelly': 11, 'Jan': 135, 'Phyllis': 32, 'Meredith': 9}"
The Office,3,02,"{'Michael': 117, 'Pam': 29, 'Ryan': 8, 'Angela': 10, 'Dwight': 40, 'Kelly': 8, 'Creed': 2, 'Meredith': 1, 'Josh': 27, 'Jim': 32, 'Kevin': 3, 'Toby': 6, 'Jan': 15, 'Ted': 1, 'Waiter': 1, 'Phyllis': 2, 'Stanley': 1, 'Evan': 6, 'Alan': 8, 'Guy': 2}","{'Michael': 1400, 'Pam': 197, 'Ryan': 31, 'Angela': 96, 'Dwight': 222, 'Kelly': 106, 'Creed': 27, 'Meredith': 6, 'Josh': 230, 'Jim': 276, 'Kevin': 19, 'Toby': 33, 'Jan': 100, 'Ted': 4, 'Waiter': 6, 'Phyllis': 23, 'Stanley': 11, 'Evan': 41, 'Alan': 74, 'Guy': 12}"
The Office,3,03,"{'Michael': 82, 'Dwight': 77, 'Pam': 20, 'Kevin': 5, 'Jan': 28, 'Angela': 13, 'Jim': 17, 'Kelly': 8, 'Andy': 10, 'Karen': 8, 'Phyllis': 5, 'Roy': 2, 'Josh': 8, 'Stanley': 3, 'Creed': 3, 'Ryan': 1}","{'Michael': 781, 'Dwight': 669, 'Pam': 222, 'Kevin': 36, 'Jan': 200, 'Angela': 118, 'Jim': 173, 'Kelly': 64, 'Andy': 57, 'Karen': 35, 'Phyllis': 14, 'Roy': 4, 'Josh': 65, 'Stanley': 16, 'Creed': 43, 'Ryan': 10}"
The Office,3,04,"{'Michael': 106, 'Ryan': 7, 'Dwight': 40, 'Pam': 34, 'Jan': 17, 'Kelly': 5, 'Phyllis': 3, 'Josh': 3, 'Karen': 15, 'Jim': 17, 'Andy': 4, 'Creed': 6, 'Angela': 7, 'Stanley': 6, 'Roy': 15, 'Kevin': 9, 'Toby': 10, 'Meredith': 1, 'Hannah': 2, 'Man': 1}","{'Michael': 1640, 'Ryan': 150, 'Dwight': 459, 'Pam': 456, 'Jan': 144, 'Kelly': 45, 'Phyllis': 16, 'Josh': 27, 'Karen': 102, 'Jim': 191, 'Andy': 31, 'Creed': 53, 'Angela': 40, 'Stanley': 29, 'Roy': 116, 'Kevin': 88, 'Toby': 146, 'Meredith': 8, 'Hannah': 13, 'Man': 9}"
